"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 05월 31일","12.2458","11.8942","12.7209","11.8463","22.22M","2.96%"
"2018년 05월 30일","11.8932","12.1206","12.5644","11.7226","24.41M","-1.82%"
"2018년 05월 29일","12.1139","11.5023","12.4465","10.7153","42.80M","5.32%"
"2018년 05월 28일","11.5018","12.4343","12.9129","11.3400","34.78M","-7.50%"
"2018년 05월 27일","12.4341","12.2271","12.5158","11.9685","18.31M","1.69%"
"2018년 05월 26일","12.2271","12.1732","12.8163","11.8360","22.41M","0.44%"
"2018년 05월 25일","12.1737","12.7482","12.7732","11.5812","34.49M","-4.54%"
"2018년 05월 24일","12.7528","10.6646","12.8899","10.3400","48.52M","19.59%"
"2018년 05월 23일","10.6634","12.1142","12.3367","10.4980","46.39M","-11.98%"
"2018년 05월 22일","12.1153","13.4111","13.4498","12.0224","21.74M","-9.66%"
"2018년 05월 21일","13.4113","13.9485","14.1402","13.1947","17.89M","-3.85%"
"2018년 05월 20일","13.9483","13.1162","14.1891","12.9317","20.33M","6.26%"
"2018년 05월 19일","13.1264","12.8928","13.4037","12.4677","20.44M","1.81%"
"2018년 05월 18일","12.8935","12.2446","13.1543","11.9368","31.25M","5.30%"
"2018년 05월 17일","12.2448","12.6572","13.9119","12.0327","37.76M","-3.26%"
"2018년 05월 16일","12.6571","12.8345","13.0746","11.8666","33.04M","-1.38%"
"2018년 05월 15일","12.8344","13.7945","14.3388","12.4558","28.04M","-6.90%"
"2018년 05월 14일","13.7861","14.6084","14.7262","12.9860","35.37M","-5.63%"
"2018년 05월 13일","14.6092","13.9764","15.0568","13.4691","30.65M","4.26%"
"2018년 05월 12일","14.0118","14.7911","15.1036","12.0712","66.81M","-4.96%"
"2018년 05월 11일","14.7423","17.3352","17.6548","14.2883","62.48M","-15.00%"
"2018년 05월 10일","17.3446","17.7981","18.7319","17.3347","20.59M","-2.52%"
"2018년 05월 09일","17.7935","17.9744","18.0663","17.0597","15.92M","-0.95%"
"2018년 05월 08일","17.9648","18.2877","18.8263","17.7003","19.14M","0.34%"
"2018년 05월 07일","17.9035","17.3928","18.4842","16.6551","27.58M","2.94%"
"2018년 05월 06일","17.3916","17.7033","17.9001","16.6019","19.73M","-2.17%"
"2018년 05월 05일","17.7768","17.0492","18.6161","17.0279","21.93M","4.22%"
"2018년 05월 04일","17.0572","17.6667","18.0206","16.3223","26.30M","-3.49%"
"2018년 05월 03일","17.6743","19.2400","19.3432","16.8886","34.79M","-8.13%"
"2018년 05월 02일","19.2378","18.7409","19.5115","18.1986","32.03M","2.61%"
"2018년 05월 01일","18.7492","17.4544","19.0428","15.9420","43.65M","7.42%"
"2018년 04월 30일","17.4544","21.4721","21.6421","16.5599","55.90M","-18.50%"
"2018년 04월 29일","21.4178","18.7787","22.9794","18.7722","57.98M","13.99%"
"2018년 04월 28일","18.7888","16.5866","19.4881","16.4608","40.17M","13.36%"
"2018년 04월 27일","16.5749","15.4229","17.8702","14.9278","40.89M","7.21%"
"2018년 04월 26일","15.4596","14.4356","15.5112","13.8888","30.67M","7.12%"
"2018년 04월 25일","14.4316","15.1329","15.4762","13.3912","65.03M","-4.68%"
"2018년 04월 24일","15.1404","11.6093","16.0038","11.6021","62.97M","30.43%"
"2018년 04월 23일","11.6078","11.3038","11.8681","11.2516","16.24M","2.69%"
"2018년 04월 22일","11.3038","11.1064","11.8509","10.7488","29.74M","1.78%"
"2018년 04월 21일","11.1064","11.4446","11.6050","10.2381","32.66M","-2.95%"
"2018년 04월 20일","11.4445","9.4823","11.6448","9.4823","43.20M","20.92%"
"2018년 04월 19일","9.4645","9.0491","9.4645","8.9405","16.43M","4.60%"
"2018년 04월 18일","9.0483","8.4894","9.3255","8.4620","17.59M","6.49%"
"2018년 04월 17일","8.4971","8.1155","9.0679","8.0866","26.81M","4.70%"
"2018년 04월 16일","8.1156","8.5215","8.5252","7.8121","17.30M","-4.76%"
"2018년 04월 15일","8.5216","8.7225","8.8082","7.8428","26.89M","-2.28%"
"2018년 04월 14일","8.7201","8.8177","9.0475","8.1058","25.37M","-1.06%"
"2018년 04월 13일","8.8134","8.8316","9.5062","8.6259","31.97M","-0.21%"
"2018년 04월 12일","8.8316","8.5272","9.2502","7.8693","57.17M","3.42%"
"2018년 04월 11일","8.5392","5.9877","8.8652","5.9758","58.97M","42.61%"
"2018년 04월 10일","5.9878","5.8578","6.0669","5.7686","9.02M","2.22%"
"2018년 04월 09일","5.8578","5.9783","6.0716","5.7699","9.65M","-1.90%"
"2018년 04월 08일","5.9709","5.8877","6.0117","5.8371","5.23M","1.41%"
"2018년 04월 07일","5.8877","5.8306","5.9956","5.7917","7.55M","0.98%"
"2018년 04월 06일","5.8307","6.3138","6.3613","5.6912","17.16M","-7.60%"
"2018년 04월 05일","6.3100","5.6608","6.3981","5.4298","20.22M","11.38%"
"2018년 04월 04일","5.6653","6.0272","6.0568","5.5215","10.57M","-6.01%"
"2018년 04월 03일","6.0274","5.8134","6.1256","5.7344","11.07M","3.68%"
"2018년 04월 02일","5.8134","5.5956","5.8827","5.4948","12.83M","3.89%"
"2018년 04월 01일","5.5956","5.9305","5.9982","5.1493","21.43M","-5.58%"
"2018년 03월 31일","5.9264","6.0168","6.1488","5.8852","10.23M","-1.50%"
"2018년 03월 30일","6.0168","5.8821","6.1660","5.7389","22.62M","2.29%"
"2018년 03월 29일","5.8821","6.1996","6.2857","5.7974","24.80M","-5.12%"
"2018년 03월 28일","6.1996","5.8026","6.4546","5.6500","21.81M","6.78%"
"2018년 03월 27일","5.8061","5.7944","6.4842","5.2071","36.58M","0.20%"
"2018년 03월 26일","5.7946","6.4410","6.5015","5.2994","28.57M","-10.04%"
