"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 12월 04일","7,022.76","7,062.41","7,095.01","7,002.71","844.63M","-0.56%"
"2018년 12월 03일","7,062.41","6,980.24","7,145.49","6,980.24","891.14M","1.18%"
"2018년 11월 30일","6,980.24","7,038.95","7,042.07","6,965.60","1.22B","-0.83%"
"2018년 11월 29일","7,038.95","7,004.52","7,078.37","7,004.52","797.79M","0.49%"
"2018년 11월 28일","7,004.52","7,016.85","7,057.03","6,987.25","825.36M","-0.18%"
"2018년 11월 27일","7,016.85","7,036.00","7,043.70","6,983.98","855.62M","-0.27%"
"2018년 11월 26일","7,036.00","6,952.86","7,050.96","6,952.86","826.83M","1.20%"
"2018년 11월 23일","6,952.86","6,960.32","6,987.53","6,912.30","707.66M","-0.11%"
"2018년 11월 22일","6,960.32","7,050.23","7,050.43","6,944.95","786.80M","-1.28%"
"2018년 11월 21일","7,050.23","6,947.92","7,058.56","6,947.92","864.50M","1.47%"
"2018년 11월 20일","6,947.92","7,000.89","7,010.10","6,904.21","851.71M","-0.76%"
"2018년 11월 19일","7,000.89","7,013.88","7,070.46","6,997.83","800.44M","-0.19%"
"2018년 11월 16일","7,013.88","7,038.01","7,092.44","6,968.99","1.04B","-0.34%"
"2018년 11월 15일","7,038.01","7,033.79","7,081.88","6,979.57","1.29B","0.06%"
"2018년 11월 14일","7,033.79","7,053.76","7,113.59","6,979.68","953.79M","-0.28%"
"2018년 11월 13일","7,053.76","7,053.08","7,103.97","7,016.64","1.08B","0.01%"
"2018년 11월 12일","7,053.08","7,105.34","7,186.31","7,053.08","730.62M","-0.74%"
"2018년 11월 09일","7,105.34","7,140.68","7,140.68","7,070.80","672.89M","-0.49%"
"2018년 11월 08일","7,140.68","7,117.28","7,171.69","7,115.01","697.80M","0.33%"
"2018년 11월 07일","7,117.28","7,040.68","7,136.75","7,040.68","698.98M","1.09%"
"2018년 11월 06일","7,040.68","7,103.84","7,117.50","7,027.45","666.52M","-0.89%"
"2018년 11월 05일","7,103.84","7,094.12","7,140.37","7,077.40","570.49M","0.14%"
"2018년 11월 02일","7,094.12","7,114.66","7,196.39","7,094.12","824.95M","-0.29%"
"2018년 11월 01일","7,114.66","7,128.10","7,165.61","7,085.74","1.06B","-0.19%"
"2018년 10월 31일","7,128.10","7,035.85","7,161.54","7,035.85","923.08M","1.31%"
"2018년 10월 30일","7,035.85","7,026.32","7,060.06","6,983.68","774.72M","0.14%"
"2018년 10월 29일","7,026.32","6,939.56","7,085.88","6,939.56","804.71M","1.25%"
