"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 08월 13일","138.60","136.05","138.80","135.00","25.50M","2.07%"
"2019년 08월 12일","135.79","137.07","137.86","135.24","20.48M","-1.39%"
"2019년 08월 09일","137.71","138.61","139.38","136.46","23.47M","-0.85%"
"2019년 08월 08일","138.89","136.60","138.99","135.93","27.50M","2.67%"
"2019년 08월 07일","135.28","133.79","135.65","131.83","33.41M","0.44%"
"2019년 08월 06일","134.69","133.80","135.68","133.21","32.70M","1.88%"
"2019년 08월 05일","132.21","133.30","133.93","130.78","42.75M","-3.43%"
"2019년 08월 02일","136.90","138.09","138.32","135.26","30.79M","-0.84%"
"2019년 08월 01일","138.06","137.00","140.94","136.93","40.56M","1.31%"
"2019년 07월 31일","136.27","140.33","140.49","135.08","38.60M","-2.91%"
"2019년 07월 30일","140.35","140.14","141.22","139.80","16.85M","-0.48%"
"2019년 07월 29일","141.03","141.50","141.51","139.37","16.61M","-0.22%"
"2019년 07월 26일","141.34","140.37","141.68","140.30","19.04M","0.82%"
"2019년 07월 25일","140.19","140.43","140.61","139.32","18.36M","-0.38%"
"2019년 07월 24일","140.72","138.90","140.74","138.85","20.74M","1.03%"
"2019년 07월 23일","139.29","139.76","139.99","138.03","18.03M","0.62%"
"2019년 07월 22일","138.43","137.41","139.19","137.33","25.08M","1.32%"
"2019년 07월 19일","136.62","140.22","140.67","136.45","48.99M","0.15%"
"2019년 07월 18일","136.42","135.55","136.62","134.67","30.81M","0.11%"
"2019년 07월 17일","136.27","137.70","137.93","136.22","20.21M","-0.59%"
"2019년 07월 16일","137.08","138.96","139.05","136.52","22.73M","-1.31%"
"2019년 07월 15일","138.90","139.44","139.54","138.46","16.65M","0.00%"
"2019년 07월 12일","138.90","138.85","139.13","138.01","18.94M","0.36%"
"2019년 07월 11일","138.40","138.20","139.22","137.87","22.33M","0.40%"
"2019년 07월 10일","137.85","137.13","138.58","137.02","24.20M","1.02%"
"2019년 07월 09일","136.46","136.00","136.97","135.80","19.95M","-0.37%"
"2019년 07월 08일","136.96","136.40","137.10","135.37","16.78M","-0.07%"
"2019년 07월 05일","137.06","135.94","137.33","135.72","18.14M","-0.29%"
"2019년 07월 03일","137.46","136.80","137.74","136.29","13.63M","0.64%"
"2019년 07월 02일","136.58","136.12","136.59","135.34","15.24M","0.66%"
"2019년 07월 01일","135.68","136.63","136.70","134.97","22.65M","1.28%"
"2019년 06월 28일","133.96","134.57","134.60","133.16","30.04M","-0.14%"
"2019년 06월 27일","134.15","134.14","134.71","133.51","16.56M","0.16%"
"2019년 06월 26일","133.93","134.35","135.74","133.60","23.66M","0.37%"
"2019년 06월 25일","133.43","137.25","137.59","132.73","33.33M","-3.16%"
"2019년 06월 24일","137.78","137.00","138.40","137.00","20.63M","0.59%"
"2019년 06월 21일","136.97","136.58","137.73","136.46","36.73M","0.01%"
"2019년 06월 20일","136.95","137.45","137.66","135.72","33.04M","0.93%"
"2019년 06월 19일","135.69","135.00","135.93","133.81","23.74M","0.39%"
"2019년 06월 18일","135.16","134.19","135.24","133.57","25.93M","1.74%"
"2019년 06월 17일","132.85","132.63","133.73","132.53","14.52M","0.30%"
"2019년 06월 14일","132.45","132.26","133.79","131.64","17.82M","0.10%"
"2019년 06월 13일","132.32","131.98","132.67","131.56","17.20M","0.63%"
"2019년 06월 12일","131.49","131.40","131.97","130.71","17.09M","-0.46%"
"2019년 06월 11일","132.10","133.88","134.24","131.28","23.91M","-0.38%"
"2019년 06월 10일","132.60","132.40","134.08","132.00","26.48M","0.91%"
"2019년 06월 07일","131.40","129.19","132.25","128.26","33.89M","2.80%"
"2019년 06월 06일","127.82","126.44","127.97","125.60","21.46M","1.58%"
"2019년 06월 05일","125.83","124.95","125.87","124.21","24.93M","2.17%"
"2019년 06월 04일","123.16","121.28","123.28","120.65","29.38M","2.77%"
"2019년 06월 03일","119.84","123.85","124.37","119.01","37.98M","-3.10%"
"2019년 05월 31일","123.68","124.23","124.61","123.32","26.65M","-1.63%"
"2019년 05월 30일","125.73","125.26","125.76","124.78","16.83M","0.63%"
"2019년 05월 29일","124.94","125.38","125.39","124.04","22.76M","-0.97%"
"2019년 05월 28일","126.16","126.98","128.00","126.05","23.13M","-0.06%"
"2019년 05월 24일","126.24","126.91","127.42","125.97","14.12M","0.05%"
"2019년 05월 23일","126.18","126.20","126.29","124.74","23.60M","-1.17%"
"2019년 05월 22일","127.67","126.62","128.24","126.52","15.40M","0.61%"
"2019년 05월 21일","126.90","127.43","127.53","126.58","15.29M","0.54%"
