"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 03월 14일","4.2950","4.2192","4.3425","4.1927","9.24M","1.80%"
"2019년 03월 13일","4.2191","4.2706","4.2893","4.1833","7.93M","-1.21%"
"2019년 03월 12일","4.2706","4.1974","4.3054","4.1446","8.31M","1.73%"
"2019년 03월 11일","4.1982","4.3129","4.3480","4.1914","11.19M","-2.68%"
"2019년 03월 10일","4.3139","4.2468","4.3530","4.1830","10.58M","1.58%"
"2019년 03월 09일","4.2468","4.1913","4.3250","4.1855","10.76M","1.33%"
"2019년 03월 08일","4.1912","4.3558","4.4059","4.1119","11.48M","-3.78%"
"2019년 03월 07일","4.3560","4.2686","4.4730","4.2548","13.52M","2.04%"
"2019년 03월 06일","4.2687","4.2699","4.3557","4.1807","10.96M","-0.03%"
"2019년 03월 05일","4.2701","4.0919","4.3503","4.0778","12.92M","4.35%"
"2019년 03월 04일","4.0919","4.2450","4.2670","3.9797","11.59M","-3.60%"
"2019년 03월 03일","4.2446","4.2374","4.3051","4.2025","8.81M","0.18%"
"2019년 03월 02일","4.2371","4.2347","4.4074","4.1786","11.51M","0.06%"
"2019년 03월 01일","4.2347","4.2229","4.2928","4.1935","9.68M","0.28%"
"2019년 02월 28일","4.2229","4.2626","4.3200","4.2030","12.68M","-0.94%"
"2019년 02월 27일","4.2630","4.2599","4.3993","4.1806","12.20M","0.07%"
"2019년 02월 26일","4.2599","4.2363","4.3317","4.1958","11.00M","0.56%"
"2019년 02월 25일","4.2363","4.0970","4.3364","4.0955","22.42M","3.41%"
"2019년 02월 24일","4.0965","4.8130","4.9617","4.0959","30.31M","-14.89%"
"2019년 02월 23일","4.8130","4.6827","4.8786","4.5972","22.61M","2.78%"
"2019년 02월 22일","4.6829","4.4962","4.7896","4.4687","21.94M","4.16%"
"2019년 02월 21일","4.4958","4.6820","4.6889","4.4058","22.60M","-3.98%"
"2019년 02월 20일","4.6821","4.5487","4.7539","4.4352","24.82M","2.96%"
"2019년 02월 19일","4.5475","4.3829","4.8068","4.2874","26.01M","3.76%"
"2019년 02월 18일","4.3826","4.1547","4.4401","4.1377","25.77M","5.49%"
"2019년 02월 17일","4.1546","4.0768","4.1933","4.0684","30.56M","1.91%"
"2019년 02월 16일","4.0768","4.0899","4.1369","4.0660","30.21M","-0.32%"
"2019년 02월 15일","4.0899","4.1070","4.2019","3.6007","30.43M","-0.42%"
"2019년 02월 14일","4.1073","4.1055","4.1692","3.5232","30.00M","0.04%"
"2019년 02월 13일","4.1054","4.0697","4.1908","4.0413","28.95M","0.88%"
"2019년 02월 12일","4.0695","4.0641","4.1823","4.0193","27.96M","0.13%"
"2019년 02월 11일","4.0641","4.1592","4.1603","3.9728","27.69M","-2.28%"
"2019년 02월 10일","4.1590","4.0844","4.1674","3.9242","21.90M","1.83%"
"2019년 02월 09일","4.0844","4.1307","4.1622","3.7870","17.44M","-1.12%"
"2019년 02월 08일","4.1307","3.8485","4.2455","3.6027","15.62M","7.33%"
"2019년 02월 07일","3.8485","3.7527","3.9149","3.7132","18.43M","2.55%"
"2019년 02월 06일","3.7527","3.8611","3.8777","3.3011","9.86M","-2.81%"
"2019년 02월 05일","3.8611","3.8776","3.9084","3.8518","16.21M","-0.43%"
"2019년 02월 04일","3.8776","4.0779","4.0989","3.3354","16.13M","-4.90%"
"2019년 02월 03일","4.0773","3.9836","4.0861","3.8531","15.31M","2.35%"
"2019년 02월 02일","3.9836","3.9033","4.1470","3.8820","30.08M","2.06%"
"2019년 02월 01일","3.9033","4.1200","4.1524","3.3256","14.68M","-4.82%"
"2019년 01월 31일","4.1010","3.9239","4.1521","3.8972","10.61M","4.52%"
"2019년 01월 30일","3.9237","3.9191","3.9627","3.8887","12.69M","0.11%"
"2019년 01월 29일","3.9192","3.9793","4.0128","3.8759","9.17M","-1.51%"
"2019년 01월 28일","3.9792","4.2372","4.2763","3.9471","6.49M","-6.09%"
"2019년 01월 27일","4.2372","4.3015","4.4863","4.1485","5.65M","-1.48%"
"2019년 01월 26일","4.3009","4.2236","4.5197","4.1304","5.31M","1.68%"
"2019년 01월 25일","4.2299","4.2426","4.3007","4.1531","4.40M","-0.30%"
"2019년 01월 24일","4.2426","4.4566","4.5102","4.1384","6.99M","-4.80%"
"2019년 01월 23일","4.4566","4.3135","4.5292","4.0969","6.76M","3.32%"
"2019년 01월 22일","4.3135","4.1467","4.3720","4.0738","9.39M","4.01%"
"2019년 01월 21일","4.1470","4.2839","4.4377","4.0311","23.11M","-3.19%"
